"blr_dsl","chn_dsl","del_dsl","hyd_dsl","mub_dsl","blr_ptr","chn_ptr","del_ptr","hyd_ptr","mub_ptr"
0.19,0.2,0.21,0.18,0.21,0.21,0.19,0.21,0.22,0.21
-0.09,-0.12,-0.11,-0.13,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11
