"datechumma","Blr_Dsl","Chn_Dsl","Del_Dsl","Hyd_Dsl","Mub_Dsl","Blr_Ptr","Chn_Ptr","Del_Ptr","Hyd_Ptr","Mub_Ptr"
"2020-01-02",0.159999999999997,0.170000000000002,0.159999999999997,0.170000000000002,0.169999999999987,-1.4210854715202e-14,-1.4210854715202e-14,0,-1.4210854715202e-14,1.4210854715202e-14
"2020-01-03",0,-0.0100000000000051,-0.00999999999999091,-0.0100000000000051,-0.00999999999997669,0.0300000000000153,0.0300000000000153,0.0349999999999966,0.0400000000000063,0.0349999999999824
"2020-01-04",-0.00999999999999091,-0.0100000000000051,-1.4210854715202e-14,-0.00999999999999091,-0.0100000000000193,-1.4210854715202e-14,-1.4210854715202e-14,1.4210854715202e-14,-0.00999999999999091,0
"2020-01-05",-0.0300000000000153,-0.0199999999999818,-0.039999999999992,-0.0200000000000102,-0.0299999999999869,0,1.4210854715202e-14,-0.0100000000000193,-1.4210854715202e-14,-0.00999999999999091
"2020-01-06",0.0500000000000114,0.0499999999999829,0.0600000000000023,0.0600000000000023,0.0599999999999881,0.0500000000000114,0.0599999999999881,0.0600000000000165,0.0600000000000023,0.0600000000000023
"2020-01-07",-0.0699999999999932,-0.0799999999999841,-0.0699999999999932,-0.0900000000000034,-0.0799999999999841,0,-0.0100000000000051,0,-0.00999999999999091,-1.4210854715202e-14
"2020-01-08",-0.100000000000009,-0.100000000000009,-0.100000000000009,-0.0999999999999943,-0.100000000000009,-0.250000000000014,-0.249999999999986,-0.250000000000014,-0.25,-0.249999999999986
"2020-01-09",0.170000000000002,0.179999999999993,0.159999999999997,0.180000000000007,0.179999999999993,0.180000000000007,0.179999999999993,0.170000000000016,0.179999999999993,0.159999999999997
"2020-01-10",-0.0500000000000114,-0.0599999999999881,-0.0499999999999972,-0.0600000000000023,-0.0599999999999881,0.0700000000000074,0.0700000000000074,0.0799999999999841,0.0699999999999932,0.0899999999999892
"2020-01-11",1.4210854715202e-14,0.00999999999999091,0.0100000000000051,0.00999999999999091,0,-0.0900000000000034,-0.0900000000000034,-0.0999999999999943,-0.0899999999999892,-0.0999999999999801
"2020-01-12",-0.170000000000002,-0.179999999999993,-0.170000000000002,-0.179999999999993,-0.170000000000002,-0.160000000000011,-0.160000000000011,-0.149999999999991,-0.159999999999997,-0.15000000000002
"2020-01-13",-0.0100000000000051,-0.019999999999996,-0.0100000000000051,-0.0200000000000102,-0.0100000000000051,-0.0199999999999818,-0.019999999999996,-0.0100000000000051,-0.0300000000000153,-0.00999999999999091
"2020-01-14",0.0600000000000023,0.0699999999999932,0.0600000000000023,0.0700000000000074,0.0600000000000023,0.0199999999999818,0.0200000000000102,0.0100000000000051,0.0300000000000153,0.0100000000000051
"2020-01-15",0,0,0,0,0,0.0200000000000102,0.0150000000000006,0.0249999999999915,0.019999999999996,0.0299999999999869
"2020-01-16",-0.150000000000006,-0.150000000000006,-0.140000000000001,-0.149999999999991,-0.150000000000006,0,-1.4210854715202e-14,0,0,1.4210854715202e-14
"2020-01-17",1.4210854715202e-14,-0.00999999999999091,-0.0100000000000051,-0.0100000000000193,-0.00999999999999091,-0.0700000000000074,-0.0549999999999926,-0.0649999999999977,-0.0700000000000074,-0.0700000000000074
"2020-01-18",-0.0200000000000102,-0.0100000000000051,-0.00999999999999091,-0.0199999999999818,-0.0100000000000051,1.4210854715202e-14,-0.019999999999996,-0.0100000000000051,-0.00999999999999091,-0.0100000000000051
"2020-01-19",0.0100000000000051,0,0,0.00999999999999091,0,-0.0300000000000153,-0.0200000000000102,-0.0199999999999818,-0.0200000000000102,-0.019999999999996
"2020-01-20",-0.0400000000000063,-0.039999999999992,-0.0300000000000153,-0.039999999999992,-0.0300000000000011,0.0700000000000074,0.0600000000000165,0.0599999999999881,0.0600000000000165,0.0600000000000023
"2020-01-21",-0.019999999999996,-0.0100000000000193,-0.0299999999999869,-0.0100000000000051,-0.019999999999996,-0.0499999999999972,-0.0400000000000063,-0.0500000000000114,-0.0400000000000063,-0.0499999999999972
"2020-01-22",0.219999999999999,0.220000000000013,0.219999999999999,0.219999999999999,0.219999999999999,0.159999999999997,0.159999999999997,0.160000000000011,0.159999999999997,0.159999999999997
"2020-01-23",-0.200000000000003,-0.199999999999989,-0.199999999999989,-0.200000000000003,-0.200000000000003,-0.180000000000007,-0.180000000000007,-0.179999999999993,-0.180000000000007,-0.179999999999993
"2020-01-24",-0.0600000000000023,-0.0600000000000165,-0.0600000000000165,-0.0600000000000023,-0.0599999999999881,-0.039999999999992,-0.039999999999992,-0.0400000000000063,-0.039999999999992,-0.0400000000000205
"2020-01-25",0.260000000000005,0.260000000000005,0.260000000000005,0.260000000000005,0.259999999999991,-0.0300000000000011,-0.0300000000000011,-0.0300000000000011,-0.0300000000000011,-0.0299999999999869
"2020-01-26",-0.599999999999994,-0.599999999999994,-0.599999999999994,-0.599999999999994,-0.600000000000009,-0.0499999999999972,-0.0499999999999972,-0.0499999999999972,-0.0499999999999972,-0.0499999999999972
"2020-01-27",0.269999999999996,0.219999999999985,0.329999999999984,0.199999999999989,0.230000000000018,0.0900000000000034,0.0799999999999983,0.139999999999986,0.0599999999999881,0.159999999999997
"2020-01-28",0.199999999999989,0.240000000000009,0.140000000000015,0.260000000000005,0.239999999999981,0.0999999999999943,0.0999999999999943,0.0500000000000114,0.13000000000001,0.0300000000000011
"2020-01-29",0.13000000000001,0.140000000000001,0.129999999999995,0.140000000000001,0.13000000000001,0.109999999999999,0.120000000000005,0.109999999999999,0.109999999999999,0.109999999999999
