"Date","Blr_Dsl","Chn_Dsl","Del_Dsl","Hyd_Dsl","Mub_Dsl","Blr_Ptr","Chn_Ptr","Del_Ptr","Hyd_Ptr","Mub_Ptr"
2020-08-04,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-05,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-06,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-07,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-08,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-09,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-10,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-11,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-12,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-13,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-14,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-15,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-16,"Up","Same","Same","Up","Same","Up","Up","Up","Up","Up"
2020-08-17,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-18,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-19,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-20,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-21,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-22,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-23,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-24,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-25,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-26,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-27,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-28,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-29,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-08-30,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-08-31,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-01,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-09-02,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-03,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-04,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-05,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-06,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-07,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-08,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-09,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-10,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-09-11,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-12,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-09-13,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-14,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-09-15,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-09-16,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-17,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-09-18,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-09-19,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-20,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-21,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-22,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-09-23,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-09-24,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
