"date","blr_dsl","chn_dsl","del_dsl","hyd_dsl","mub_dsl","blr_ptr","chn_ptr","del_ptr","hyd_ptr","mub_ptr"
"2021-04-27","85.6","85.76","80.73","88.05","87.81","93.43","92.43","90.44","93.99","96.83"
"2021-04-28","85.6","85.76","80.73","88.05","87.81","93.43","92.43","90.44","93.99","96.83"
"2021-04-29","85.6","85.75","80.73","88.05","87.81","93.43","92.43","90.4","93.99","96.83"
"2021-04-30","85.6","85.75","80.73","88.05","87.81","93.43","92.43","90.4","93.99","96.83"
"2021-05-01","85.6","85.75","80.73","88.05","87.81","93.43","92.43","90.4","93.99","96.83"
"2021-05-02","85.6","85.83","80.73","88.05","87.81","93.43","92.51","90.4","93.99","96.83"
"2021-05-03","85.58","85.73","80.77","88.03","87.79","93.41","92.42","90.43","93.97","96.81"
