"Blr_Dsl","Chn_Dsl","Del_Dsl","Hyd_Dsl","Mub_Dsl","Blr_Ptr","Chn_Ptr","Del_Ptr","Hyd_Ptr","Mub_Ptr"
0,0,0,0,0,0.0700000000000074,0.0700000000000074,0.0649999999999977,0.0700000000000074,0.0649999999999977
0.159999999999997,0.170000000000002,0.159999999999997,0.170000000000002,0.169999999999987,0.0699999999999932,0.0699999999999932,0.0649999999999977,0.0699999999999932,0.0650000000000119
0.159999999999997,0.159999999999997,0.150000000000006,0.159999999999997,0.160000000000011,0.100000000000009,0.100000000000009,0.0999999999999943,0.109999999999999,0.0999999999999943
0.150000000000006,0.149999999999991,0.149999999999991,0.150000000000006,0.149999999999991,0.0999999999999943,0.0999999999999943,0.100000000000009,0.100000000000009,0.0999999999999943
0.11999999999999,0.13000000000001,0.109999999999999,0.129999999999995,0.120000000000005,0.0999999999999943,0.100000000000009,0.0899999999999892,0.0999999999999943,0.0900000000000034
0.170000000000002,0.179999999999993,0.170000000000002,0.189999999999998,0.179999999999993,0.150000000000006,0.159999999999997,0.150000000000006,0.159999999999997,0.150000000000006
0.100000000000009,0.100000000000009,0.100000000000009,0.0999999999999943,0.100000000000009,0.150000000000006,0.149999999999991,0.150000000000006,0.150000000000006,0.149999999999991
0,0,0,0,0,-0.100000000000009,-0.0999999999999943,-0.100000000000009,-0.0999999999999943,-0.0999999999999943
0.170000000000002,0.179999999999993,0.159999999999997,0.180000000000007,0.179999999999993,0.0799999999999983,0.0799999999999983,0.0700000000000074,0.0799999999999983,0.0600000000000023
0.11999999999999,0.120000000000005,0.109999999999999,0.120000000000005,0.120000000000005,0.150000000000006,0.150000000000006,0.149999999999991,0.149999999999991,0.149999999999991
0.120000000000005,0.129999999999995,0.120000000000005,0.129999999999995,0.120000000000005,0.0600000000000023,0.0600000000000023,0.0499999999999972,0.0600000000000023,0.0500000000000114
-0.0499999999999972,-0.0499999999999972,-0.0499999999999972,-0.0499999999999972,-0.0499999999999972,-0.100000000000009,-0.100000000000009,-0.0999999999999943,-0.0999999999999943,-0.100000000000009
-0.0600000000000023,-0.0699999999999932,-0.0600000000000023,-0.0700000000000074,-0.0600000000000023,-0.11999999999999,-0.120000000000005,-0.109999999999999,-0.13000000000001,-0.109999999999999
0,0,0,0,0,-0.100000000000009,-0.0999999999999943,-0.0999999999999943,-0.0999999999999943,-0.0999999999999943
0,0,0,0,0,-0.0799999999999983,-0.0849999999999937,-0.0750000000000028,-0.0799999999999983,-0.0700000000000074
-0.150000000000006,-0.150000000000006,-0.140000000000001,-0.149999999999991,-0.150000000000006,-0.0799999999999983,-0.085000000000008,-0.0750000000000028,-0.0799999999999983,-0.0699999999999932
-0.149999999999991,-0.159999999999997,-0.150000000000006,-0.160000000000011,-0.159999999999997,-0.150000000000006,-0.140000000000001,-0.140000000000001,-0.150000000000006,-0.140000000000001
-0.170000000000002,-0.170000000000002,-0.159999999999997,-0.179999999999993,-0.170000000000002,-0.149999999999991,-0.159999999999997,-0.150000000000006,-0.159999999999997,-0.150000000000006
-0.159999999999997,-0.170000000000002,-0.159999999999997,-0.170000000000002,-0.170000000000002,-0.180000000000007,-0.180000000000007,-0.169999999999987,-0.180000000000007,-0.170000000000002
-0.200000000000003,-0.209999999999994,-0.190000000000012,-0.209999999999994,-0.200000000000003,-0.109999999999999,-0.11999999999999,-0.109999999999999,-0.11999999999999,-0.109999999999999
-0.219999999999999,-0.220000000000013,-0.219999999999999,-0.219999999999999,-0.219999999999999,-0.159999999999997,-0.159999999999997,-0.160000000000011,-0.159999999999997,-0.159999999999997
0,0,0,0,0,0,0,0,0,0
